player,birthplace
Tacko Fall,"Dakar, Senegal"
Pascal Siakam,"Douala, Cameroon"
Mario Hezonja,"Dubrovnik, Croatia"
Ricky Rubio,"El Masnou, Spain"
Ersan Ilyasova,"Eskisehir, Turkey"
Buddy Hield,"Freeport, Bahamas"
Clint Capela,"Geneva, Switzerland"
Aron Baynes,"Gisborne, New Zealand"
Furkan Korkmaz,"Istanbul, Turkey"
Frank Ntilikina,"Ixelles, Belgium"
Ignas Brazdeikis,Kaunas Lithuania
Cheick Diallo,"Kayes, Mali"
Gorgui Dieng,"Kebemer, Senegal"
Bol Bol,"Khartoum, Sudan"
Emmanuel Mudiay,"Kinshasa, Zaire"
Jamal Murray,"Kitchener, Canada"
Vlatko Cancar,"Koper, Slovenia"
Josh Okogie,"Lagos, Nigeria"
Chris Silva,"Libreville, Gabon"
Kristaps Porzingis,"Liepaja, Latvia"
Nicolas Batum,"Lisieux, France"
Goran Dragic,"Ljubljana, Slovenia (FRMR Yugoslavia)"
Luka Doncic,"Ljubljana, Slovenia (FRMR Yugoslavia)"
OG Anunoby,"London, England"
Admiral Schofield,"London, England"
Bruno Fernando,"Luanda, Angola"
Bismack Biyombo,"Lubumbashi, Democratic Republic of Congo"
Willy Hernangomez,"Madrid, Spain"
Juan Hernangomez,"Madrid, Spain"
JJ Barea,"Mayaguez, Puerto Rico"
Matthew Dellavedova,"Maryborough, Australia"
Ben Simmons,"Melbourne, Australia"
Dante Exum,"Melbourne, Australia"
Dillon Brooks,"Mississaugua, Canada"
Khem Birch,"Montreal, Canada"
Luguentz Dort,"Montreal, Canada"
Nikola Vucevic,"Morges, Switzerland"
Ivica Zubac,"Mostar, Bosnia and Herzegovina"
Bojan Bogdanovic,"Mostar, Bosnia and Herzegovina"
Deandre Ayton,"Nassau, Bahamas"
Isaac Bonga,"Neuwied, Germany"
Cedi Osman,"Ohrid, Macedonia"
Bruno Caboclo,"Osasco, Brazil"
Marial Shayok,"Ottawa, Canada"
Cory Joseph,"Pickering, Canada"
Reggie Jackson,"Pordenone, Italy"
Skal Labissiere,"Port-au-Prince, Haiti"
Cristiano Felicio,"Pouso Alegre, Brazil"
Tomas Satoransky,"Prague, Czechoslovakia"
Marko Guduric,"Priboj, Serbia (FRMR Yugoslavia)"
Al Horford,"Puerto Plata, Dominican Republic"
