player,birthplace
Josip Sesar,"Mostar, SR Bosnia and Herzegovina, SFR Yugoslavia"
Mark Karcher,"Baltimore, Maryland"
Jason Hart,"Los Angeles, California"
Kaniel Dickens,"Denver, Colorado"
Igor Rakočević,"Belgrade, SR Serbia, SFR Yugoslavia"
Ernest Brown,"the Bronx, New York"
Dan McClintock,"Fountain Valley, California"
Cory Hightower,"Flint, Michigan"
Chris Porter,"Abbeville, Alabama"
Jaquay Walls,"Brooklyn, New York"
Scoonie Penn,"Yonkers, New York"
Pete Mickeal,"Rock Island, Illinois"
Malik Allen,"Willingboro Township, New Jersey"
Richie Frahm,"Battle Ground, Washington"
Kwame Brown,"Charleston, South Carolina"
Tyson Chandler,"Hanford, California"
Pau Gasol,"Barcelona, Spain"
Eddy Curry,"Harvey, Illinois"
Jason Richardson,"Saginaw, Michigan"
Shane Battier,"Birmingham, Michigan"
Eddie Griffin,"Kansas City, Missouri, United States"
DeSagana Diop,"Dakar, Senegal"
Rodney White,"Philadelphia, Pennsylvania"
Joe Johnson,"Little Rock, Arkansas"
Kedrick Brown,"Zachary, Louisiana"
Vladimir Radmanović,"Trebinje, SR Bosnia and Herzegovina
SFR Yugoslavia"
Richard Jefferson,"Los Angeles, California"
Troy Murphy,"Morristown, New Jersey"
Steven Hunter,"Chicago, Illinois"
Kirk Haston,"Lobelville, Tennessee"
Michael Bradley,"Worcester, Massachusetts"
Jason Collins,"Northridge, California"
Zach Randolph,"Marion, Indiana"
Brendan Haywood,"New York City, New York"
Joseph Forte,"Atlanta, Georgia"
Jeryl Sasser,"Dallas, Texas"
Brandon Armstrong,"San Francisco, California"
Raül López,"Vic, Spain"
Gerald Wallace,"Sylacauga, Alabama"
Samuel Dalembert,"Port-au-Prince, Haiti"
Jamaal Tinsley,"Brooklyn, New York"
Tony Parker,"Bruges, Belgium"
Trenton Hassell,"Clarksville, Tennessee"
Gilbert Arenas,"Tampa, Florida"
Omar Cook,"Brooklyn, New York"
Will Solomon,"Hartford, Connecticut"
Brian Scalabrine,"Long Beach, California"
Terence Morris,"Frederick, Maryland"
Jeff Trepagnier,"Los Angeles, California"
Damone Brown,"Buffalo, New York"
Mehmet Okur,"Yalova, Turkey"
Michael Wright,"Chicago, Illinois"
Earl Watson,"Kansas City, Kansas"
Jamison Brewer,"East Point, Georgia"
Bobby Simmons,"Chicago, Illinois"
Eric Chenowith,"Orange, California"
Kyle Hill,"Chicago, Illinois"
Sean Lampley,"Harvey, Illinois"
Loren Woods,"St. Louis, Missouri"
Ousmane Cisse,"Bamako, Mali"
Antonis Fotsis,"Maroussi, Greece"
Ken Johnson,"Detroit, Michigan"
